_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
8227,2017Q3,S92000003,d,S08000030,All Cancer Types,d,280,"",251,""
8228,2017Q3,S92000003,d,S08000031,All Cancer Types,d,910,"",739,""
8229,2017Q3,S92000003,d,S08000032,All Cancer Types,d,304,"",291,""
8230,2017Q3,S92000003,d,SB0801,All Cancer Types,d,38,"",27,""
8231,2017Q3,S08000015,"",S08000015,Breast,"",95,"",94,""
8232,2017Q3,S08000015,"",S08000017,Breast,"",6,"",6,""
8233,2017Q3,S08000015,"",S08000031,Breast,"",1,"",1,""
8234,2017Q3,S08000016,"",S08000016,Breast,"",10,"",10,""
8235,2017Q3,S08000017,"",S08000017,Breast,"",14,"",14,""
8236,2017Q3,S08000019,"",S08000019,Breast,"",33,"",32,""
8237,2017Q3,S08000020,"",S08000020,Breast,"",86,"",79,""
8238,2017Q3,S08000020,"",S08000025,Breast,"",1,"",1,""
8239,2017Q3,S08000022,"",S08000022,Breast,"",52,"",52,""
8240,2017Q3,S08000022,"",S08000028,Breast,"",1,"",1,""
8241,2017Q3,S08000024,"",S08000024,Breast,"",158,"",157,""
8242,2017Q3,S08000026,"",S08000026,Breast,"",1,"",1,""
8243,2017Q3,S08000029,"",S08000024,Breast,"",1,"",1,""
8244,2017Q3,S08000029,"",S08000029,Breast,"",21,"",21,""
8245,2017Q3,S08000030,"",S08000030,Breast,"",98,"",89,""
8246,2017Q3,S08000031,"",S08000019,Breast,"",2,"",2,""
8247,2017Q3,S08000031,"",S08000031,Breast,"",226,"",198,""
8248,2017Q3,S08000031,"",S08000032,Breast,"",27,"",24,""
8249,2017Q3,S08000032,"",S08000031,Breast,"",2,"",2,""
8250,2017Q3,S08000032,"",S08000032,Breast,"",69,"",69,""
8251,2017Q3,S92000003,d,S08000015,Breast,"",95,"",94,""
8252,2017Q3,S92000003,d,S08000016,Breast,"",10,"",10,""
8253,2017Q3,S92000003,d,S08000017,Breast,"",20,"",20,""
8254,2017Q3,S92000003,d,S08000019,Breast,"",35,"",34,""
8255,2017Q3,S92000003,d,S08000020,Breast,"",86,"",79,""
8256,2017Q3,S92000003,d,S08000022,Breast,"",52,"",52,""
8257,2017Q3,S92000003,d,S08000024,Breast,"",159,"",158,""
8258,2017Q3,S92000003,d,S08000025,Breast,"",1,"",1,""
8259,2017Q3,S92000003,d,S08000026,Breast,"",1,"",1,""
8260,2017Q3,S92000003,d,S08000028,Breast,"",1,"",1,""
8261,2017Q3,S92000003,d,S08000029,Breast,"",21,"",21,""
8262,2017Q3,S92000003,d,S08000030,Breast,"",98,"",89,""
8263,2017Q3,S92000003,d,S08000031,Breast,"",229,"",201,""
8264,2017Q3,S92000003,d,S08000032,Breast,"",96,"",93,""
8265,2017Q3,S08000016,"",S08000024,Cervical,"",2,"",2,""
8266,2017Q3,S08000019,"",S08000019,Cervical,"",4,"",4,""
8267,2017Q3,S08000019,"",S08000031,Cervical,"",5,"",1,""
8268,2017Q3,S08000020,"",S08000020,Cervical,"",1,"",1,""
8269,2017Q3,S08000022,"",S08000022,Cervical,"",2,"",2,""
8270,2017Q3,S08000024,"",S08000024,Cervical,"",3,"",3,""
8271,2017Q3,S08000029,"",S08000024,Cervical,"",1,"",0,""
8272,2017Q3,S08000029,"",S08000029,Cervical,"",1,"",1,""
8273,2017Q3,S08000030,"",S08000030,Cervical,"",3,"",2,""
8274,2017Q3,S08000031,"",S08000031,Cervical,"",7,"",7,""
8275,2017Q3,S08000032,"",S08000031,Cervical,"",3,"",3,""
8276,2017Q3,S08000032,"",S08000032,Cervical,"",3,"",3,""
8277,2017Q3,S92000003,d,S08000019,Cervical,"",4,"",4,""
8278,2017Q3,S92000003,d,S08000020,Cervical,"",1,"",1,""
8279,2017Q3,S92000003,d,S08000022,Cervical,"",2,"",2,""
8280,2017Q3,S92000003,d,S08000024,Cervical,"",6,"",5,""
8281,2017Q3,S92000003,d,S08000029,Cervical,"",1,"",1,""
8282,2017Q3,S92000003,d,S08000030,Cervical,"",3,"",2,""
8283,2017Q3,S92000003,d,S08000031,Cervical,"",15,"",11,""
8284,2017Q3,S92000003,d,S08000032,Cervical,"",3,"",3,""
8285,2017Q3,S08000015,"",S08000015,Colorectal,"",45,"",37,""
8286,2017Q3,S08000015,"",S08000031,Colorectal,"",1,"",1,""
8287,2017Q3,S08000016,"",S08000016,Colorectal,"",11,"",11,""
8288,2017Q3,S08000016,"",S08000024,Colorectal,"",1,"",1,""
8289,2017Q3,S08000017,"",S08000017,Colorectal,"",14,"",13,""
8290,2017Q3,S08000019,"",S08000019,Colorectal,"",33,"",23,""
8291,2017Q3,S08000020,"",S08000020,Colorectal,"",62,"",45,""
8292,2017Q3,S08000022,"",S08000022,Colorectal,"",25,"",20,""
8293,2017Q3,S08000022,"",S08000031,Colorectal,"",1,"",1,""
8294,2017Q3,S08000024,"",S08000024,Colorectal,"",75,"",53,""
8295,2017Q3,S08000024,"",SB0801,Colorectal,"",1,"",1,""
8296,2017Q3,S08000025,"",S08000020,Colorectal,"",1,"",0,""
8297,2017Q3,S08000025,"",S08000025,Colorectal,"",1,"",1,""
8298,2017Q3,S08000026,"",S08000026,Colorectal,"",1,"",1,""
8299,2017Q3,S08000028,"",S08000022,Colorectal,"",3,"",2,""
8300,2017Q3,S08000029,"",S08000024,Colorectal,"",1,"",1,""
8301,2017Q3,S08000029,"",S08000029,Colorectal,"",24,"",24,""
8302,2017Q3,S08000029,"",S08000030,Colorectal,"",1,"",1,""
8303,2017Q3,S08000030,"",S08000030,Colorectal,"",37,"",36,""
8304,2017Q3,S08000031,"",S08000024,Colorectal,"",1,"",1,""
8305,2017Q3,S08000031,"",S08000031,Colorectal,"",105,"",89,""
8306,2017Q3,S08000032,"",S08000024,Colorectal,"",1,"",1,""
8307,2017Q3,S08000032,"",S08000031,Colorectal,"",4,"",3,""
8308,2017Q3,S08000032,"",S08000032,Colorectal,"",53,"",48,""
8309,2017Q3,S92000003,d,S08000015,Colorectal,"",45,"",37,""
8310,2017Q3,S92000003,d,S08000016,Colorectal,"",11,"",11,""
8311,2017Q3,S92000003,d,S08000017,Colorectal,"",14,"",13,""
8312,2017Q3,S92000003,d,S08000019,Colorectal,"",33,"",23,""
8313,2017Q3,S92000003,d,S08000020,Colorectal,"",63,"",45,""
8314,2017Q3,S92000003,d,S08000022,Colorectal,"",28,"",22,""
8315,2017Q3,S92000003,d,S08000024,Colorectal,"",79,"",57,""
8316,2017Q3,S92000003,d,S08000025,Colorectal,"",1,"",1,""
8317,2017Q3,S92000003,d,S08000026,Colorectal,"",1,"",1,""
8318,2017Q3,S92000003,d,S08000029,Colorectal,"",24,"",24,""
8319,2017Q3,S92000003,d,S08000030,Colorectal,"",38,"",37,""
8320,2017Q3,S92000003,d,S08000031,Colorectal,"",111,"",94,""
8321,2017Q3,S92000003,d,S08000032,Colorectal,"",53,"",48,""
8322,2017Q3,S92000003,d,SB0801,Colorectal,"",1,"",1,""
8323,2017Q3,S08000015,"",S08000015,Head & Neck,"",10,"",7,""
8324,2017Q3,S08000015,"",S08000031,Head & Neck,"",3,"",2,""
8325,2017Q3,S08000016,"",S08000016,Head & Neck,"",1,"",1,""
8326,2017Q3,S08000016,"",S08000024,Head & Neck,"",3,"",3,""
8327,2017Q3,S08000019,"",S08000031,Head & Neck,"",2,"",2,""
8328,2017Q3,S08000019,"",S08000032,Head & Neck,"",2,"",2,""
8329,2017Q3,S08000020,"",S08000020,Head & Neck,"",3,"",2,""
8330,2017Q3,S08000022,"",S08000022,Head & Neck,"",4,"",4,""
8331,2017Q3,S08000024,"",S08000024,Head & Neck,"",31,"",26,""
8332,2017Q3,S08000028,"",S08000028,Head & Neck,"",1,"",1,""
8333,2017Q3,S08000029,"",S08000024,Head & Neck,"",4,"",3,""
8334,2017Q3,S08000029,"",S08000029,Head & Neck,"",4,"",4,""
8335,2017Q3,S08000029,"",S08000030,Head & Neck,"",2,"",2,""
8336,2017Q3,S08000030,"",S08000030,Head & Neck,"",2,"",1,""
8337,2017Q3,S08000031,"",S08000031,Head & Neck,"",36,"",29,""
8338,2017Q3,S08000032,"",S08000031,Head & Neck,"",8,"",6,""
8339,2017Q3,S08000032,"",S08000032,Head & Neck,"",9,"",9,""
8340,2017Q3,S92000003,d,S08000015,Head & Neck,"",10,"",7,""
8341,2017Q3,S92000003,d,S08000016,Head & Neck,"",1,"",1,""
8342,2017Q3,S92000003,d,S08000020,Head & Neck,"",3,"",2,""
8343,2017Q3,S92000003,d,S08000022,Head & Neck,"",4,"",4,""
8344,2017Q3,S92000003,d,S08000024,Head & Neck,"",38,"",32,""
8345,2017Q3,S92000003,d,S08000028,Head & Neck,"",1,"",1,""
8346,2017Q3,S92000003,d,S08000029,Head & Neck,"",4,"",4,""
8347,2017Q3,S92000003,d,S08000030,Head & Neck,"",4,"",3,""
8348,2017Q3,S92000003,d,S08000031,Head & Neck,"",49,"",39,""
8349,2017Q3,S92000003,d,S08000032,Head & Neck,"",11,"",11,""
8350,2017Q3,S08000015,"",S08000015,Lung,"",38,"",35,""
8351,2017Q3,S08000015,"",S08000031,Lung,"",10,"",8,""
8352,2017Q3,S08000015,"",SB0801,Lung,"",6,"",3,""
8353,2017Q3,S08000016,"",S08000016,Lung,"",10,"",10,""
8354,2017Q3,S08000016,"",S08000024,Lung,"",5,"",5,""
8355,2017Q3,S08000017,"",S08000017,Lung,"",13,"",12,""
8356,2017Q3,S08000017,"",S08000024,Lung,"",1,"",1,""
8357,2017Q3,S08000017,"",SB0801,Lung,"",2,"",2,""
8358,2017Q3,S08000019,"",S08000019,Lung,"",28,"",27,""
8359,2017Q3,S08000019,"",S08000031,Lung,"",5,"",4,""
8360,2017Q3,S08000019,"",SB0801,Lung,"",3,"",0,""
8361,2017Q3,S08000020,"",S08000020,Lung,"",62,"",58,""
8362,2017Q3,S08000022,"",S08000022,Lung,"",21,"",21,""
8363,2017Q3,S08000024,"",S08000024,Lung,"",50,"",48,""
8364,2017Q3,S08000028,"",S08000022,Lung,"",1,"",1,""
8365,2017Q3,S08000028,"",S08000028,Lung,"",4,"",3,""
8366,2017Q3,S08000029,"",S08000024,Lung,"",13,"",12,""
8367,2017Q3,S08000029,"",S08000029,Lung,"",37,"",37,""
8368,2017Q3,S08000029,"",S08000030,Lung,"",3,"",3,""
8369,2017Q3,S08000030,"",S08000020,Lung,"",1,"",1,""
8370,2017Q3,S08000030,"",S08000024,Lung,"",6,"",1,""
8371,2017Q3,S08000030,"",S08000030,Lung,"",39,"",36,""
8372,2017Q3,S08000031,"",S08000031,Lung,"",112,"",100,""
8373,2017Q3,S08000031,"",SB0801,Lung,"",24,"",19,""
8374,2017Q3,S08000032,"",S08000031,Lung,"",8,"",8,""
8375,2017Q3,S08000032,"",S08000032,Lung,"",41,"",40,""
8376,2017Q3,S08000032,"",SB0801,Lung,"",2,"",2,""
8377,2017Q3,S92000003,d,S08000015,Lung,"",38,"",35,""
8378,2017Q3,S92000003,d,S08000016,Lung,"",10,"",10,""
8379,2017Q3,S92000003,d,S08000017,Lung,"",13,"",12,""
8380,2017Q3,S92000003,d,S08000019,Lung,"",28,"",27,""
8381,2017Q3,S92000003,d,S08000020,Lung,"",63,"",59,""
8382,2017Q3,S92000003,d,S08000022,Lung,"",22,"",22,""
8383,2017Q3,S92000003,d,S08000024,Lung,"",75,"",67,""
8384,2017Q3,S92000003,d,S08000028,Lung,"",4,"",3,""
8385,2017Q3,S92000003,d,S08000029,Lung,"",37,"",37,""
8386,2017Q3,S92000003,d,S08000030,Lung,"",42,"",39,""
8387,2017Q3,S92000003,d,S08000031,Lung,"",135,"",120,""
8388,2017Q3,S92000003,d,S08000032,Lung,"",41,"",40,""
8389,2017Q3,S92000003,d,SB0801,Lung,"",37,"",26,""
8390,2017Q3,S08000015,"",S08000015,Lymphoma,"",2,"",2,""
8391,2017Q3,S08000016,"",S08000016,Lymphoma,"",4,"",4,""
8392,2017Q3,S08000017,"",S08000017,Lymphoma,"",4,"",4,""
8393,2017Q3,S08000019,"",S08000019,Lymphoma,"",6,"",6,""
8394,2017Q3,S08000020,"",S08000020,Lymphoma,"",15,"",9,""
8395,2017Q3,S08000020,"",S08000022,Lymphoma,"",1,"",1,""
8396,2017Q3,S08000022,"",S08000022,Lymphoma,"",11,"",11,""
8397,2017Q3,S08000022,"",S08000031,Lymphoma,"",1,"",1,""
8398,2017Q3,S08000024,"",S08000024,Lymphoma,"",10,"",10,""
8399,2017Q3,S08000026,"",S08000020,Lymphoma,"",2,"",2,""
8400,2017Q3,S08000029,"",S08000029,Lymphoma,"",8,"",8,""
8401,2017Q3,S08000031,"",S08000031,Lymphoma,"",28,"",24,""
8402,2017Q3,S08000032,"",S08000032,Lymphoma,"",7,"",7,""
8403,2017Q3,S92000003,d,S08000015,Lymphoma,"",2,"",2,""
8404,2017Q3,S92000003,d,S08000016,Lymphoma,"",4,"",4,""
8405,2017Q3,S92000003,d,S08000017,Lymphoma,"",4,"",4,""
8406,2017Q3,S92000003,d,S08000019,Lymphoma,"",6,"",6,""
8407,2017Q3,S92000003,d,S08000020,Lymphoma,"",17,"",11,""
8408,2017Q3,S92000003,d,S08000022,Lymphoma,"",12,"",12,""
8409,2017Q3,S92000003,d,S08000024,Lymphoma,"",10,"",10,""
8410,2017Q3,S92000003,d,S08000029,Lymphoma,"",8,"",8,""
8411,2017Q3,S92000003,d,S08000031,Lymphoma,"",29,"",25,""
8412,2017Q3,S92000003,d,S08000032,Lymphoma,"",7,"",7,""
8413,2017Q3,S08000015,"",S08000015,Melanoma,"",9,"",9,""
8414,2017Q3,S08000015,"",S08000031,Melanoma,"",1,"",1,""
8415,2017Q3,S08000016,"",S08000016,Melanoma,"",7,"",7,""
8416,2017Q3,S08000017,"",S08000017,Melanoma,"",2,"",2,""
8417,2017Q3,S08000019,"",S08000019,Melanoma,"",11,"",8,""
8418,2017Q3,S08000019,"",S08000031,Melanoma,"",2,"",2,""
8419,2017Q3,S08000020,"",S08000020,Melanoma,"",12,"",9,""
8420,2017Q3,S08000022,"",S08000022,Melanoma,"",9,"",7,""
8421,2017Q3,S08000022,"",S08000031,Melanoma,"",1,"",1,""
8422,2017Q3,S08000024,"",S08000024,Melanoma,"",13,"",11,""
8423,2017Q3,S08000029,"",S08000024,Melanoma,"",1,"",1,""
8424,2017Q3,S08000029,"",S08000029,Melanoma,"",9,"",9,""
8425,2017Q3,S08000029,"",S08000030,Melanoma,"",1,"",1,""
8426,2017Q3,S08000030,"",S08000030,Melanoma,"",3,"",3,""
8427,2017Q3,S08000031,"",S08000031,Melanoma,"",32,"",29,""
8428,2017Q3,S08000032,"",S08000031,Melanoma,"",3,"",1,""
8429,2017Q3,S08000032,"",S08000032,Melanoma,"",22,"",20,""
8430,2017Q3,S92000003,d,S08000015,Melanoma,"",9,"",9,""
8431,2017Q3,S92000003,d,S08000016,Melanoma,"",7,"",7,""
8432,2017Q3,S92000003,d,S08000017,Melanoma,"",2,"",2,""
8433,2017Q3,S92000003,d,S08000019,Melanoma,"",11,"",8,""
8434,2017Q3,S92000003,d,S08000020,Melanoma,"",12,"",9,""
8435,2017Q3,S92000003,d,S08000022,Melanoma,"",9,"",7,""
8436,2017Q3,S92000003,d,S08000024,Melanoma,"",14,"",12,""
8437,2017Q3,S92000003,d,S08000029,Melanoma,"",9,"",9,""
8438,2017Q3,S92000003,d,S08000030,Melanoma,"",4,"",4,""
8439,2017Q3,S92000003,d,S08000031,Melanoma,"",39,"",34,""
8440,2017Q3,S92000003,d,S08000032,Melanoma,"",22,"",20,""
8441,2017Q3,S08000015,"",S08000015,Ovarian,"",1,"",1,""
8442,2017Q3,S08000015,"",S08000031,Ovarian,"",5,"",4,""
8443,2017Q3,S08000016,"",S08000016,Ovarian,"",2,"",2,""
8444,2017Q3,S08000017,"",S08000017,Ovarian,"",2,"",2,""
8445,2017Q3,S08000019,"",S08000019,Ovarian,"",2,"",1,""
8446,2017Q3,S08000019,"",S08000031,Ovarian,"",5,"",4,""
8447,2017Q3,S08000020,"",S08000020,Ovarian,"",8,"",8,""
8448,2017Q3,S08000022,"",S08000020,Ovarian,"",1,"",1,""
8449,2017Q3,S08000022,"",S08000022,Ovarian,"",5,"",4,""
8450,2017Q3,S08000024,"",S08000024,Ovarian,"",15,"",14,""
8451,2017Q3,S08000029,"",S08000024,Ovarian,"",1,"",0,""
8452,2017Q3,S08000029,"",S08000029,Ovarian,"",4,"",4,""
8453,2017Q3,S08000030,"",S08000030,Ovarian,"",6,"",5,""
8454,2017Q3,S08000031,"",S08000031,Ovarian,"",25,"",25,""
8455,2017Q3,S08000032,"",S08000031,Ovarian,"",5,"",5,""
8456,2017Q3,S08000032,"",S08000032,Ovarian,"",2,"",2,""
8457,2017Q3,S92000003,d,S08000015,Ovarian,"",1,"",1,""
8458,2017Q3,S92000003,d,S08000016,Ovarian,"",2,"",2,""
8459,2017Q3,S92000003,d,S08000017,Ovarian,"",2,"",2,""
8460,2017Q3,S92000003,d,S08000019,Ovarian,"",2,"",1,""
8461,2017Q3,S92000003,d,S08000020,Ovarian,"",9,"",9,""
8462,2017Q3,S92000003,d,S08000022,Ovarian,"",5,"",4,""
8463,2017Q3,S92000003,d,S08000024,Ovarian,"",16,"",14,""
8464,2017Q3,S92000003,d,S08000029,Ovarian,"",4,"",4,""
8465,2017Q3,S92000003,d,S08000030,Ovarian,"",6,"",5,""
8466,2017Q3,S92000003,d,S08000031,Ovarian,"",40,"",38,""
8467,2017Q3,S92000003,d,S08000032,Ovarian,"",2,"",2,""
8468,2017Q3,S08000015,"",S08000015,Upper GI,"",21,"",20,""
8469,2017Q3,S08000015,"",S08000031,Upper GI,"",7,"",1,""
8470,2017Q3,S08000016,"",S08000016,Upper GI,"",4,"",4,""
8471,2017Q3,S08000016,"",S08000024,Upper GI,"",2,"",2,""
8472,2017Q3,S08000017,"",S08000017,Upper GI,"",11,"",11,""
8473,2017Q3,S08000017,"",S08000024,Upper GI,"",4,"",4,""
8474,2017Q3,S08000019,"",S08000019,Upper GI,"",18,"",18,""
8475,2017Q3,S08000019,"",S08000024,Upper GI,"",1,"",1,""
8476,2017Q3,S08000019,"",S08000031,Upper GI,"",3,"",2,""
8477,2017Q3,S08000020,"",S08000020,Upper GI,"",39,"",35,""
8478,2017Q3,S08000022,"",S08000022,Upper GI,"",19,"",17,""
8479,2017Q3,S08000024,"",S08000024,Upper GI,"",32,"",31,""
8480,2017Q3,S08000025,"",S08000020,Upper GI,"",1,"",1,""
8481,2017Q3,S08000026,"",S08000020,Upper GI,"",1,"",1,""
8482,2017Q3,S08000026,"",S08000026,Upper GI,"",1,"",1,""
8483,2017Q3,S08000028,"",S08000022,Upper GI,"",2,"",2,""
8484,2017Q3,S08000028,"",S08000028,Upper GI,"",1,"",1,""
8485,2017Q3,S08000029,"",S08000029,Upper GI,"",17,"",17,""
8486,2017Q3,S08000030,"",S08000030,Upper GI,"",37,"",36,""
8487,2017Q3,S08000031,"",S08000022,Upper GI,"",1,"",1,""
8488,2017Q3,S08000031,"",S08000031,Upper GI,"",99,"",84,""
8489,2017Q3,S08000032,"",S08000031,Upper GI,"",2,"",2,""
8490,2017Q3,S08000032,"",S08000032,Upper GI,"",25,"",25,""
8491,2017Q3,S92000003,d,S08000015,Upper GI,"",21,"",20,""
8492,2017Q3,S92000003,d,S08000016,Upper GI,"",4,"",4,""
8493,2017Q3,S92000003,d,S08000017,Upper GI,"",11,"",11,""
8494,2017Q3,S92000003,d,S08000019,Upper GI,"",18,"",18,""
8495,2017Q3,S92000003,d,S08000020,Upper GI,"",41,"",37,""
8496,2017Q3,S92000003,d,S08000022,Upper GI,"",22,"",20,""
8497,2017Q3,S92000003,d,S08000024,Upper GI,"",39,"",38,""
8498,2017Q3,S92000003,d,S08000026,Upper GI,"",1,"",1,""
8499,2017Q3,S92000003,d,S08000028,Upper GI,"",1,"",1,""
8500,2017Q3,S92000003,d,S08000029,Upper GI,"",17,"",17,""
8501,2017Q3,S92000003,d,S08000030,Upper GI,"",37,"",36,""
8502,2017Q3,S92000003,d,S08000031,Upper GI,"",111,"",89,""
8503,2017Q3,S92000003,d,S08000032,Upper GI,"",25,"",25,""
8504,2017Q3,S08000015,"",S08000015,Urological,"",35,"",33,""
8505,2017Q3,S08000015,"",S08000031,Urological,"",6,"",0,""
8506,2017Q3,S08000016,"",S08000016,Urological,"",12,"",12,""
8507,2017Q3,S08000016,"",S08000024,Urological,"",3,"",3,""
8508,2017Q3,S08000017,"",S08000017,Urological,"",11,"",11,""
8509,2017Q3,S08000017,"",S08000024,Urological,"",1,"",0,""
8510,2017Q3,S08000019,"",S08000019,Urological,"",52,"",46,""
8511,2017Q3,S08000019,"",S08000031,Urological,"",3,"",1,""
8512,2017Q3,S08000020,"",S08000020,Urological,"",70,"",52,""
8513,2017Q3,S08000022,"",S08000020,Urological,"",1,"",0,""
8514,2017Q3,S08000022,"",S08000022,Urological,"",30,"",16,""
8515,2017Q3,S08000022,"",S08000024,Urological,"",1,"",0,""
8516,2017Q3,S08000024,"",S08000024,Urological,"",90,"",65,""
8517,2017Q3,S08000026,"",S08000020,Urological,"",2,"",0,""
8518,2017Q3,S08000026,"",S08000026,Urological,"",5,"",5,""
8519,2017Q3,S08000028,"",S08000022,Urological,"",1,"",1,""
8520,2017Q3,S08000028,"",S08000028,Urological,"",2,"",2,""
8521,2017Q3,S08000029,"",S08000024,Urological,"",3,"",2,""
8522,2017Q3,S08000029,"",S08000029,Urological,"",39,"",33,""
8523,2017Q3,S08000030,"",S08000024,Urological,"",1,"",0,""
8524,2017Q3,S08000030,"",S08000030,Urological,"",48,"",36,""
8525,2017Q3,S08000031,"",S08000031,Urological,"",141,"",85,""
8526,2017Q3,S08000032,"",S08000031,Urological,"",2,"",2,""
8527,2017Q3,S08000032,"",S08000032,Urological,"",44,"",42,""
8528,2017Q3,S92000003,d,S08000015,Urological,"",35,"",33,""
8529,2017Q3,S92000003,d,S08000016,Urological,"",12,"",12,""
8530,2017Q3,S92000003,d,S08000017,Urological,"",11,"",11,""
8531,2017Q3,S92000003,d,S08000019,Urological,"",52,"",46,""
8532,2017Q3,S92000003,d,S08000020,Urological,"",73,"",52,""
8533,2017Q3,S92000003,d,S08000022,Urological,"",31,"",17,""
8534,2017Q3,S92000003,d,S08000024,Urological,"",99,"",70,""
8535,2017Q3,S92000003,d,S08000026,Urological,"",5,"",5,""
8536,2017Q3,S92000003,d,S08000028,Urological,"",2,"",2,""
8537,2017Q3,S92000003,d,S08000029,Urological,"",39,"",33,""
8538,2017Q3,S92000003,d,S08000030,Urological,"",48,"",36,""
8539,2017Q3,S92000003,d,S08000031,Urological,"",152,"",88,""
8540,2017Q3,S92000003,d,S08000032,Urological,"",44,"",42,""
8541,2017Q4,S08000015,"",S08000015,All Cancer Types,d,250,"",241,""
8542,2017Q4,S08000015,"",S08000017,All Cancer Types,d,4,"",4,""
8543,2017Q4,S08000015,"",S08000031,All Cancer Types,d,40,"",23,""
8544,2017Q4,S08000015,"",SB0801,All Cancer Types,d,4,"",0,""
8545,2017Q4,S08000016,"",S08000016,All Cancer Types,d,57,"",57,""
8546,2017Q4,S08000016,"",S08000024,All Cancer Types,d,16,"",14,""
8547,2017Q4,S08000017,"",S08000017,All Cancer Types,d,66,"",65,""
8548,2017Q4,S08000017,"",S08000024,All Cancer Types,d,14,"",11,""
8549,2017Q4,S08000017,"",SB0801,All Cancer Types,d,1,"",1,""
8550,2017Q4,S08000019,"",S08000019,All Cancer Types,d,186,"",163,""
8551,2017Q4,S08000019,"",S08000024,All Cancer Types,d,3,"",3,""
8552,2017Q4,S08000019,"",S08000031,All Cancer Types,d,32,"",21,""
8553,2017Q4,S08000019,"",SB0801,All Cancer Types,d,5,"",5,""
8554,2017Q4,S08000020,"",S08000020,All Cancer Types,d,390,"",314,""
8555,2017Q4,S08000020,"",S08000022,All Cancer Types,d,2,"",1,""
8556,2017Q4,S08000020,"",S08000026,All Cancer Types,d,1,"",1,""
8557,2017Q4,S08000022,"",S08000020,All Cancer Types,d,6,"",4,""
8558,2017Q4,S08000022,"",S08000022,All Cancer Types,d,174,"",148,""
8559,2017Q4,S08000022,"",S08000024,All Cancer Types,d,3,"",2,""
8560,2017Q4,S08000022,"",SB0801,All Cancer Types,d,6,"",4,""
8561,2017Q4,S08000024,"",S08000016,All Cancer Types,d,2,"",1,""
8562,2017Q4,S08000024,"",S08000024,All Cancer Types,d,514,"",464,""
8563,2017Q4,S08000025,"",S08000020,All Cancer Types,d,2,"",2,""
8564,2017Q4,S08000025,"",S08000025,All Cancer Types,d,1,"",1,""
8565,2017Q4,S08000026,"",S08000020,All Cancer Types,d,4,"",3,""
8566,2017Q4,S08000026,"",S08000026,All Cancer Types,d,9,"",8,""
8567,2017Q4,S08000028,"",S08000020,All Cancer Types,d,1,"",0,""
8568,2017Q4,S08000028,"",S08000022,All Cancer Types,d,4,"",4,""
8569,2017Q4,S08000028,"",S08000028,All Cancer Types,d,7,"",6,""
8570,2017Q4,S08000028,"",S08000031,All Cancer Types,d,1,"",1,""
8571,2017Q4,S08000029,"",S08000024,All Cancer Types,d,35,"",31,""
8572,2017Q4,S08000029,"",S08000029,All Cancer Types,d,179,"",168,""
8573,2017Q4,S08000029,"",S08000030,All Cancer Types,d,8,"",7,""
8574,2017Q4,S08000030,"",S08000020,All Cancer Types,d,4,"",1,""
8575,2017Q4,S08000030,"",S08000024,All Cancer Types,d,4,"",1,""
8576,2017Q4,S08000030,"",S08000030,All Cancer Types,d,209,"",187,""
8577,2017Q4,S08000031,"",S08000019,All Cancer Types,d,7,"",7,""
8578,2017Q4,S08000031,"",S08000022,All Cancer Types,d,1,"",1,""
8579,2017Q4,S08000031,"",S08000031,All Cancer Types,d,838,"",691,""
8580,2017Q4,S08000031,"",S08000032,All Cancer Types,d,8,"",8,""
8581,2017Q4,S08000031,"",SB0801,All Cancer Types,d,10,"",7,""
8582,2017Q4,S08000032,"",S08000031,All Cancer Types,d,48,"",45,""
8583,2017Q4,S08000032,"",S08000032,All Cancer Types,d,230,"",222,""
8584,2017Q4,S08000032,"",SB0801,All Cancer Types,d,7,"",7,""
8585,2017Q4,S92000003,d,S08000015,All Cancer Types,d,250,"",241,""
8586,2017Q4,S92000003,d,S08000016,All Cancer Types,d,59,"",58,""
8587,2017Q4,S92000003,d,S08000017,All Cancer Types,d,70,"",69,""
8588,2017Q4,S92000003,d,S08000019,All Cancer Types,d,193,"",170,""
8589,2017Q4,S92000003,d,S08000020,All Cancer Types,d,407,"",324,""
8590,2017Q4,S92000003,d,S08000022,All Cancer Types,d,181,"",154,""
8591,2017Q4,S92000003,d,S08000024,All Cancer Types,d,589,"",526,""
8592,2017Q4,S92000003,d,S08000025,All Cancer Types,d,1,"",1,""
8593,2017Q4,S92000003,d,S08000026,All Cancer Types,d,10,"",9,""
8594,2017Q4,S92000003,d,S08000028,All Cancer Types,d,7,"",6,""
8595,2017Q4,S92000003,d,S08000029,All Cancer Types,d,179,"",168,""
8596,2017Q4,S92000003,d,S08000030,All Cancer Types,d,217,"",194,""
8597,2017Q4,S92000003,d,S08000031,All Cancer Types,d,959,"",781,""
8598,2017Q4,S92000003,d,S08000032,All Cancer Types,d,238,"",230,""
8599,2017Q4,S92000003,d,SB0801,All Cancer Types,d,33,"",24,""
8600,2017Q4,S08000015,"",S08000015,Breast,"",87,"",87,""
8601,2017Q4,S08000015,"",S08000017,Breast,"",4,"",4,""
8602,2017Q4,S08000016,"",S08000016,Breast,"",12,"",12,""
